"FPR","TPR","Predict","BaseModel"
0.961538461538462,0.942307692307692,"VogtmannE_2016","PRJEB27928"
0.961538461538462,0.961538461538462,"VogtmannE_2016","PRJEB27928"
0.980769230769231,0.961538461538462,"VogtmannE_2016","PRJEB27928"
0.980769230769231,0.980769230769231,"VogtmannE_2016","PRJEB27928"
1,0.980769230769231,"VogtmannE_2016","PRJEB27928"
1,1,"VogtmannE_2016","PRJEB27928"
0,0,"ThomasAM_2018b","PRJEB27928"
0,0.03125,"ThomasAM_2018b","PRJEB27928"
0,0.09375,"ThomasAM_2018b","PRJEB27928"
0,0.125,"ThomasAM_2018b","PRJEB27928"
0,0.15625,"ThomasAM_2018b","PRJEB27928"
0,0.1875,"ThomasAM_2018b","PRJEB27928"
0,0.25,"ThomasAM_2018b","PRJEB27928"
0,0.28125,"ThomasAM_2018b","PRJEB27928"
0,0.3125,"ThomasAM_2018b","PRJEB27928"
0,0.34375,"ThomasAM_2018b","PRJEB27928"
0,0.375,"ThomasAM_2018b","PRJEB27928"
0.0357142857142857,0.375,"ThomasAM_2018b","PRJEB27928"
0.0357142857142857,0.40625,"ThomasAM_2018b","PRJEB27928"
0.0357142857142857,0.4375,"ThomasAM_2018b","PRJEB27928"
0.0357142857142857,0.46875,"ThomasAM_2018b","PRJEB27928"
0.0714285714285714,0.46875,"ThomasAM_2018b","PRJEB27928"
0.0714285714285714,0.5,"ThomasAM_2018b","PRJEB27928"
0.0714285714285714,0.53125,"ThomasAM_2018b","PRJEB27928"
0.107142857142857,0.53125,"ThomasAM_2018b","PRJEB27928"
0.142857142857143,0.53125,"ThomasAM_2018b","PRJEB27928"
0.142857142857143,0.5625,"ThomasAM_2018b","PRJEB27928"
0.142857142857143,0.59375,"ThomasAM_2018b","PRJEB27928"
0.142857142857143,0.625,"ThomasAM_2018b","PRJEB27928"
0.142857142857143,0.65625,"ThomasAM_2018b","PRJEB27928"
0.178571428571429,0.65625,"ThomasAM_2018b","PRJEB27928"
0.214285714285714,0.65625,"ThomasAM_2018b","PRJEB27928"
0.25,0.65625,"ThomasAM_2018b","PRJEB27928"
0.25,0.71875,"ThomasAM_2018b","PRJEB27928"
0.285714285714286,0.71875,"ThomasAM_2018b","PRJEB27928"
0.285714285714286,0.75,"ThomasAM_2018b","PRJEB27928"
0.285714285714286,0.78125,"ThomasAM_2018b","PRJEB27928"
0.321428571428571,0.78125,"ThomasAM_2018b","PRJEB27928"
0.357142857142857,0.78125,"ThomasAM_2018b","PRJEB27928"
0.392857142857143,0.78125,"ThomasAM_2018b","PRJEB27928"
0.464285714285714,0.78125,"ThomasAM_2018b","PRJEB27928"
0.5,0.78125,"ThomasAM_2018b","PRJEB27928"
0.535714285714286,0.78125,"ThomasAM_2018b","PRJEB27928"
0.571428571428571,0.78125,"ThomasAM_2018b","PRJEB27928"
0.571428571428571,0.8125,"ThomasAM_2018b","PRJEB27928"
0.607142857142857,0.8125,"ThomasAM_2018b","PRJEB27928"
0.642857142857143,0.8125,"ThomasAM_2018b","PRJEB27928"
0.642857142857143,0.84375,"ThomasAM_2018b","PRJEB27928"
0.678571428571429,0.84375,"ThomasAM_2018b","PRJEB27928"
0.714285714285714,0.84375,"ThomasAM_2018b","PRJEB27928"
0.75,0.84375,"ThomasAM_2018b","PRJEB27928"
0.75,0.875,"ThomasAM_2018b","PRJEB27928"
0.75,0.90625,"ThomasAM_2018b","PRJEB27928"
0.785714285714286,0.90625,"ThomasAM_2018b","PRJEB27928"
0.785714285714286,0.9375,"ThomasAM_2018b","PRJEB27928"
0.821428571428571,0.9375,"ThomasAM_2018b","PRJEB27928"
0.857142857142857,0.9375,"ThomasAM_2018b","PRJEB27928"
0.892857142857143,0.9375,"ThomasAM_2018b","PRJEB27928"
0.928571428571429,0.9375,"ThomasAM_2018b","PRJEB27928"
0.928571428571429,0.96875,"ThomasAM_2018b","PRJEB27928"
0.964285714285714,0.96875,"ThomasAM_2018b","PRJEB27928"
1,0.96875,"ThomasAM_2018b","PRJEB27928"
1,1,"ThomasAM_2018b","PRJEB27928"
0,0,"ThomasAM_2018a","PRJEB27928"
0,0.0344827586206897,"ThomasAM_2018a","PRJEB27928"
0,0.0689655172413793,"ThomasAM_2018a","PRJEB27928"
0,0.103448275862069,"ThomasAM_2018a","PRJEB27928"
0.0416666666666667,0.103448275862069,"ThomasAM_2018a","PRJEB27928"
0.0833333333333333,0.103448275862069,"ThomasAM_2018a","PRJEB27928"
0.0833333333333333,0.137931034482759,"ThomasAM_2018a","PRJEB27928"
